Rank,TeamName,Score
1,190110327,1.89051
2,190110201,1.90459
3,190110128,1.93480
4,190111014,1.95123
5,190110601,1.95486
6,190110820,1.95647
7,190110310,1.95966
8,190110701,1.96191
9,190110806,1.96914
10,190110811,2.00143
11,190110731,2.00182
12,190110930,2.00706
13,190111001,2.00779
14,190110509,2.01634
15,190111009,2.01804
16,190110125,2.02361
17,190110628,2.03440
18,190110610,2.05988
19,190110424,2.06162
20,190110724,2.06899
21,190110830,2.08793
22,190110325,2.09979
23,190110704,2.10214
24,190110206,2.11036
25,190110319,2.11822
26,190110515,2.11989
27,190110308,2.20656
28,190110127,2.22769
29,190110224,2.26310
30,190110425,2.30680
31,190110408,2.34178
32,190110215,2.39686
33,190110309,2.43780
34,190110115,2.47316
35,190110904,2.50359
36,190111025,2.50659
37,190110330,2.54322
38,190110301,2.68136
39,190110231,2.69468
40,190110914,2.79936
41,190110107,2.94039
43,190110317,2.97776
43,190110716,2.97776
43,190110229,2.97776
43,190110414,2.97776
46,190110214,3.13298
47,190110512,3.26748
48,190110722,3.80463
49,190110427,4.38669
50,190110111,4.74256
51,190110902,4.77856
