״̬,ACTION,,,,,,,,,,,,,,,,,GOTO,,,,,,,,,,,,
,ID,INT_CONST,INT,CHAR,endl,(,),*,/,%,+,-,=,main,{,},$,Assign,A,B,C,E,T,F,G,S,Y,Daima,block,
0,,,s 2,,,,,,,,,,,,,,,,,,,,,,,1,,,,
1,,,,,,,,,,,,,,,,,accept,,,,,,,,,,,,,
2,,,,,,,,,,,,,,s 3,,,,,,,,,,,,,,,,
3,,,,,,s 4,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,s 5,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,s 7,,,,,,,,,,,,,,6,
6,,,,,,,,,,,,,,,,,r 22,,,,,,,,,,,,,
7,s 13,,s 14,s 15,,,,,,,,,,,,,,8,9,10,,,,,,,11,12,,
8,,,,,s 16,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,s 17,,,,,,,,,,,,,,,,,,,,,,,,,
10,s 19,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,
11,s 13,,s 14,s 15,,,,,,,,,,,,r 20,,8,9,10,,,,,,,11,20,,
12,,,,,,,,,,,,,,,,s 21,,,,,,,,,,,,,,
13,,,,,,,,,,,,,s 22,,,,,,,,,,,,,,,,,
14,r 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,r 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,r 17,,r 17,r 17,,,,,,,,,,,,r 17,,,,,,,,,,,,,,
17,r 18,,r 18,r 18,,,,,,,,,,,,r 18,,,,,,,,,,,,,,
18,,,,,r 0,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,r 3,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,r 19,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,r 16,,,,,,,,,,,,,
22,s 27,s 28,,,,s 29,,,,,,,,,,,,,,,,23,24,25,26,,,,,
23,,,,,r 15,,,,,,s 30,s 31,,,,,,,,,,,,,,,,,,
24,,,,,r 6,,,s 32,s 33,s 34,r 6,r 6,,,,,,,,,,,,,,,,,,
25,,,,,r 10,,,r 10,r 10,r 10,r 10,r 10,,,,,,,,,,,,,,,,,,
26,,,,,r 14,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,r 12,,,r 12,r 12,r 12,r 12,r 12,,,,,,,,,,,,,,,,,,
28,,,,,r 13,,,r 13,r 13,r 13,r 13,r 13,,,,,,,,,,,,,,,,,,
29,s 38,s 39,,,,s 40,,,,,,,,,,,,,,,,35,36,37,,,,,,
30,s 27,s 28,,,,s 29,,,,,,,,,,,,,,,,,41,25,,,,,,
31,s 27,s 28,,,,s 29,,,,,,,,,,,,,,,,,42,25,,,,,,
32,s 27,s 28,,,,s 29,,,,,,,,,,,,,,,,,,43,,,,,,
33,s 27,s 28,,,,s 29,,,,,,,,,,,,,,,,,,44,,,,,,
34,s 27,s 28,,,,s 29,,,,,,,,,,,,,,,,,,45,,,,,,
35,,,,,,,s 46,,,,s 47,s 48,,,,,,,,,,,,,,,,,,
36,,,,,,,r 6,s 49,s 50,s 51,r 6,r 6,,,,,,,,,,,,,,,,,,
37,,,,,,,r 10,r 10,r 10,r 10,r 10,r 10,,,,,,,,,,,,,,,,,,
38,,,,,,,r 12,r 12,r 12,r 12,r 12,r 12,,,,,,,,,,,,,,,,,,
39,,,,,,,r 13,r 13,r 13,r 13,r 13,r 13,,,,,,,,,,,,,,,,,,
40,s 38,s 39,,,,s 40,,,,,,,,,,,,,,,,52,36,37,,,,,,
41,,,,,r 4,,,s 32,s 33,s 34,r 4,r 4,,,,,,,,,,,,,,,,,,
42,,,,,r 5,,,s 32,s 33,s 34,r 5,r 5,,,,,,,,,,,,,,,,,,
43,,,,,r 7,,,r 7,r 7,r 7,r 7,r 7,,,,,,,,,,,,,,,,,,
44,,,,,r 8,,,r 8,r 8,r 8,r 8,r 8,,,,,,,,,,,,,,,,,,
45,,,,,r 9,,,r 9,r 9,r 9,r 9,r 9,,,,,,,,,,,,,,,,,,
46,,,,,r 11,,,r 11,r 11,r 11,r 11,r 11,,,,,,,,,,,,,,,,,,
47,s 38,s 39,,,,s 40,,,,,,,,,,,,,,,,,53,37,,,,,,
48,s 38,s 39,,,,s 40,,,,,,,,,,,,,,,,,54,37,,,,,,
49,s 38,s 39,,,,s 40,,,,,,,,,,,,,,,,,,55,,,,,,
50,s 38,s 39,,,,s 40,,,,,,,,,,,,,,,,,,56,,,,,,
51,s 38,s 39,,,,s 40,,,,,,,,,,,,,,,,,,57,,,,,,
52,,,,,,,s 58,,,,s 47,s 48,,,,,,,,,,,,,,,,,,
53,,,,,,,r 4,s 49,s 50,s 51,r 4,r 4,,,,,,,,,,,,,,,,,,
54,,,,,,,r 5,s 49,s 50,s 51,r 5,r 5,,,,,,,,,,,,,,,,,,
55,,,,,,,r 7,r 7,r 7,r 7,r 7,r 7,,,,,,,,,,,,,,,,,,
56,,,,,,,r 8,r 8,r 8,r 8,r 8,r 8,,,,,,,,,,,,,,,,,,
57,,,,,,,r 9,r 9,r 9,r 9,r 9,r 9,,,,,,,,,,,,,,,,,,
58,,,,,,,r 11,r 11,r 11,r 11,r 11,r 11,,,,,,,,,,,,,,,,,,
