״̬,ACTION,,,,,,,,,,,,,,,,,GOTO,,,,,,,,,,,
,ID,INT_CONST,INT,CHAR,endl,(,),*,/,%,+,-,=,main,{,},$,Assign,A,B,C,E,T,F,G,S,Y,Daima,block
0,,,shift 2,,,,,,,,,,,,,,,,,,,,,,,1,,,
1,,,,,,,,,,,,,,,,,accept,,,,,,,,,,,,
2,,,,,,,,,,,,,,shift 3,,,,,,,,,,,,,,,
3,,,,,,shift 4,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,shift 5,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,shift 7,,,,,,,,,,,,,,6
6,,,,,,,,,,,,,,,,,reduce S -> INT main ( ) block,,,,,,,,,,,,
7,shift 13,,shift 14,shift 15,,,,,,,,,,,,,,8,9,10,,,,,,,11,12,
8,,,,,shift 16,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,shift 17,,,,,,,,,,,,,,,,,,,,,,,,
10,shift 19,,,,,,,,,,,,,,,,,,,,18,,,,,,,,
11,shift 13,,shift 14,shift 15,,,,,,,,,,,,reduce Daima -> Y,,8,9,10,,,,,,,11,20,
12,,,,,,,,,,,,,,,,shift 21,,,,,,,,,,,,,
13,,,,,,,,,,,,,shift 22,,,,,,,,,,,,,,,,
14,reduce B -> INT,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,reduce B -> CHAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,reduce Y -> Assign endl,,reduce Y -> Assign endl,reduce Y -> Assign endl,,,,,,,,,,,,reduce Y -> Assign endl,,,,,,,,,,,,,
17,reduce Y -> A endl,,reduce Y -> A endl,reduce Y -> A endl,,,,,,,,,,,,reduce Y -> A endl,,,,,,,,,,,,,
18,,,,,reduce A -> B C,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,reduce C -> ID,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,reduce Daima -> Y Daima,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,reduce block -> { Daima },,,,,,,,,,,,
22,shift 27,shift 28,,,,shift 29,,,,,,,,,,,,,,,,23,24,25,26,,,,
23,,,,,reduce G -> E,,,,,,shift 30,shift 31,,,,,,,,,,,,,,,,,
24,,,,,reduce E -> T,,,shift 32,shift 33,shift 34,reduce E -> T,reduce E -> T,,,,,,,,,,,,,,,,,
